"Question","Answer"
"What is an example of a data-link layer vulnerability?","MAC Address Spoofing is an example of a data-link layer vulnerability. Other examples include VLAN circumvention and switches flooding traffic to all VLAN ports."
"What is an example of a network layer vulnerability?","Route Spoofing is an example of a network layer vulnerability. Other examples include IP Address Spoofing and Identity & Resource ID vulnerabilities."
"What is an example of physical layer vulnerability?","Keystroke and other input logging is an example of a physical layer vulnerability, along with unauthorized network access and data destruction."
"What is an example of a data-link layer vulnerability?","VLAN circumvention is an example of a data-link layer vulnerability. Other vulnerabilities include MAC Address Spoofing and forced flooding of traffic to all VLAN ports by switches."
"Which of the following is not a transport layer vulnerability?","Unauthorized network access is not a transport layer vulnerability. Transport layer vulnerabilities include mishandling of undefined or poorly defined mechanisms, fingerprinting vulnerabilities, and overloading of transport-layer mechanisms."
"Which of the following is not a session layer vulnerability?","Mishandling of undefined or poorly defined mechanisms is not a session layer vulnerability. Session layer vulnerabilities include spoofing and hijacking based on failed authentication, weak or non-existent authentication mechanisms, and interception due to session credential misuse."
"Failed sessions allow brute-force attacks on access credentials. This type of attack occurs in which layer of the OSI model?","Failed sessions allowing brute-force attacks on access credentials occur in the session layer. Session identification can be subject to spoofing, leading to data leakage and potential brute-force attacks."
"Can transmission mechanisms be subject to spoofing and attacks based on skilled modified packets?","Yes, transmission mechanisms can be subject to spoofing and attacks using skilled modified packets, typically occurring in the transport layer of the OSI model."
"Which of the following is not an example of presentation layer issues?","Weak or non-existent authentication mechanisms are not a presentation layer issue. Presentation layer issues include cryptographic flaws, poor handling of unexpected input, and unintentional use of superficially supplied input."
"Which of the following is not a vulnerability of the application layer?","Overloading of transport-layer mechanisms is not an application layer vulnerability. Application layer vulnerabilities include design flaws bypassing security controls, inadequate security controls, and logical bugs causing program crashes."
"Which of the following is an example of transport layer vulnerability?","Overloading of transport-layer mechanisms is an example of transport layer vulnerability. Other vulnerabilities include fingerprinting vulnerabilities and mishandling of poorly defined mechanisms."
"Which of the following is an example of session layer vulnerability?","Weak or non-existent authentication mechanisms are an example of session layer vulnerability. Other examples include data spoofing and hijacking based on failed authentication and passing session credentials that allow interception."
"Which of the following is an example of presentation layer vulnerability?","Poor handling of unexpected input is an example of presentation layer vulnerability. Other vulnerabilities include cryptographic flaws and unintentional use of superficially supplied input."
"Which of the following is an example of application layer vulnerability?","Very complex application security controls can be an example of application layer vulnerability. Other vulnerabilities include inadequate security controls and logical bugs in programs."
"TCP/IP is extensively used model for the World Wide Web for providing network communications which are composed of 4 layers that work together?","True. TCP/IP is a widely used model for the World Wide Web, providing network communications composed of 4 layers that work together. Each layer consists of a header and payload."
"TCP/IP is composed of how many layers?","TCP/IP is composed of 4 layers. It is a commonly used model for internet communications, where each layer works together for efficient data transmission."
"Trusted TCP/IP commands have the same needs & go through the identical verification process. Which of them is not a TCP/IP command?","Trusted TCP/IP commands such as ftp, rexec, and telnet follow the same verification process. 'tcpexec' is not a recognized TCP/IP command."
"Connection authentication is offered for ensuring that the remote host has the likely Internet Protocol (IP) ___________ & ___________?","Connection authentication ensures that the remote host has the correct IP address and name. This prevents a remote host from impersonating another."
"Application layer sends & receives data for particular applications using HyperText Transfer Protocol (HTTP), and Simple Mail Transfer Protocol (SMTP)?","True. The application layer is responsible for sending and receiving data using protocols like HTTP and SMTP, which makes encryption in these protocols important."
"TLS vulnerability is also known as Return of Bleichenbacher’s Oracle Threat?","True. The vulnerability known as Return of Bleichenbacher’s Oracle Threat (RoBOT) can allow attackers to decrypt TLS traffic under certain conditions."
"RoBOT is abbreviated as what?","RoBOT stands for Return of Bleichenbacher’s Oracle Threat, a transport layer vulnerability that allows attackers to access RSA keys to decrypt TLS traffic."
"There are how many different versions of IP popularly used?","There are two popular versions of IP used: IPv4 and IPv6. IPv4 is a 32-bit address system, while IPv6 is a 128-bit address system."
"What is TCP Blind Spoofing?","TCP Blind Spoofing is an attack where the attacker guesses the sequence number of an ongoing communication session and the port number, allowing them to hijack the session."
"What is a SYN flooding attack?","A SYN flooding attack occurs when numerous SYN packets are sent with spoofed addresses to a server, overwhelming it and causing a denial of service. SYN and ACK segments start a TCP connection."
"Which of them is not an attack done in the network layer of the TCP/IP model?","Shoulder surfing is not a network layer attack. MITM, DoS, and spoofing attacks are common in the network layer of the TCP/IP model."
"Which of them is not an appropriate method of router security?","Routing protocols should be handled by experts, but it is not specifically a router security measure. Blocking unused ports, disabling unused interfaces, and enabling packet filtering are crucial for securing routers."
"Which 2 protocols are used in the Transport layer of the TCP/IP model?","TCP and UDP are the two primary protocols used in the transport layer of the TCP/IP model to manage data transmission and ensure reliability."
"Which protocol is not used in the network layer of the TCP/IP model?","HTTP is not used in the network layer but in the application layer. ICMP, IP, and IGMP are used in the network layer of the TCP/IP model."
"Which protocol attack is done in the data-link layer?","DNS protocol attacks are done in the application layer, not in the data-link layer. These attacks redirect traffic by altering DNS records, leading to malicious sites."
"What is the illicit transmission of data from inside an organization or personal system to an external location or recipient?","Data leakage is the illicit transmission of data from inside an organization or personal system to an external location or recipient. It describes the unauthorized transfer of information, either electronically or physically."
"From which of the following sources do data leakage threats not usually occur?","Television is not a common source of data leakage. Data leakage threats typically occur through web and email, mobile data storage devices, USB drives, and laptops."
"What is data leakage popularly known as?","Data leakage is also known as 'low and slow data theft.' This term is used to describe the gradual theft of sensitive information, causing serious damage to the affected organization."
"How many major types of data leakage are there?","There are three major types of data leakage: accidental breaches, malicious employee actions, and electronic communication with harmful intent."
"Does 'unauthorized' data leakage always mean intended or malicious?","No, 'Unauthorized' data leakage doesn’t necessarily mean intended or malicious. Most data leakage incidents are accidental, but the damage caused can still be severe."
"Can unintentional data leakage result in the same penalties and reputational damage as intentional breaches?","Yes, unintentional data leakage can lead to the same penalties and reputational damage as intentional data breaches, regardless of the intent."
"What is it called when employees purposely or negligently expose confidential information?","Ill-intentional data leakage occurs when employees deliberately or negligently expose confidential information, causing potential harm to the organization."
"Which of the following is not an example of physical data leakage?","Phishing is not an example of physical data leakage. Physical leakage examples include dumpster diving, shoulder surfing, and extracting information from printers and photocopiers."
"What is the unauthorized movement of data called?","Data exfiltration is the unauthorized movement of data. It includes data exportation, extrusion, leakage, and theft, all of which come under data hacking."
"Which of the following is an example of physical data leakage?","Dumpster diving is an example of physical data leakage. Criminals can intentionally obtain data through methods like dumpster diving, shoulder surfing, or accessing printed documents."
"Which of the following is not an example of data leakage through malicious electronic communication?","Dumpster diving is not an example of electronic data leakage. Common methods of data leakage through malicious electronic communication include phishing, spoofed emails, and malware attacks."
"What are the three steps of data loss prevention?","The three steps of data loss prevention are Identify, Discover, and Classify. This process involves identifying systems of record, classifying sensitive data, and discovering data elements based on those classifications."
"Which of the following is not a step in data loss prevention?","Manage is not a step in data loss prevention. The main steps are Identify, Discover, and Classify, which ensure proper data protection and handling."
"Is mapping data flow useful for understanding data leakage risk in an organization?","True. Mapping the flow of data in an organization, including both upstream and downstream sources, is useful for better understanding the risks associated with actual and potential data leakage."
"Is data leakage prevention based on factors like encryption, access control, and tokenization?","True. Data leakage prevention relies on various factors, including access controls, encryption, tokenization, alerting, blocking, and dynamic data masking to protect sensitive information."
"Which of the following is not an example of an internal data leakage threat?","Data leaks by third-party apps are not an example of an internal threat. Internal threats come from sources like employees, partners, or stolen credentials, while third-party apps typically represent external threats."
"What is the process that focuses on detecting and preventing sensitive data exfiltration and loss?","Data loss prevention (DLP) focuses on detecting and preventing sensitive data exfiltration and loss, including situations involving lost or stolen data, such as from ransomware attacks."
"What is the component of the reconnaissance stage used to gather information for a target system or network?","Footprinting is a component of the reconnaissance stage used to gather possible information for a target computer system or network. It can be either active or passive footprinting."
"How many types of footprinting exist?","Footprinting can be of two types: active or passive. Active footprinting involves direct interaction with the target, while passive footprinting collects information without direct contact."
"What is one of the pre-attacking phases?","Footprinting is one of the pre-attacking phases used to gather possible information for a target system or network."
"Who spends 85% of their time profiling an organization before launching an attack?","An attacker spends 85% of their time profiling an organization and the rest in launching the attack. Profiling helps attackers understand the structure and vulnerabilities of the organization."
"Which method ensures the systematic gathering of information related to the target?","Footprinting is the method used to systematically ensure that all pieces of information related to the target are gathered. It is part of the reconnaissance stage in ethical hacking."
"From where do attackers typically seek information?","Attackers seek information from sources like domain names, IP addresses, system enumeration, and other internet-based services."
"Which of these is not an information source for attackers?","YouTube is not a typical information source for attackers. Instead, sources like Whois, Nslookup, and archive sites are commonly used."
"Can footprinting collect information such as employee data, phone numbers, and emails?","Yes, footprinting can collect information such as employee details, phone numbers, emails, job roles, IP addresses, and more."
"How can spyware be used in information gathering?","Spyware can be used to steal browsing history and related data from the victim's browser, giving the attacker valuable insights into the target's online habits."
"Is archive.org a site where you can view past versions of websites?","Yes, archive.org is a site where you can enter a domain name and see how a website looked on specific dates in the past."
"Which site is an example of a people data search tool?","Intelius.com is an example of a people search site where information about individuals can be accessed."
"Where can a hacker find a series of IP addresses assigned to a company?","Hackers can find a series of IP addresses assigned to a company using the ARIN website (https://www.arin.net/)."
"What does ARIN stand for?","ARIN stands for American Registry for Internet Numbers. It provides information about IP addresses and networks assigned to organizations."
"Is using spyware an example of active information gathering?","Yes, using spyware is an example of active information gathering. It involves the direct collection of data from the target, such as browsing habits and history."
"What type of information gathering involves collecting freely available information?","Collecting freely available information over the internet, such as from archive sites or search engines, is an example of passive information gathering."
"What is the term used for gathering information about your competitors from online resources, researches, and newsgroups?","Competitive Intelligence gathering is the term used for gathering information about your competitors from online resources, researches, and newsgroups. It is a non-interfering and subtle way of collecting data."
"What type of intelligence gathering is non-interfering and subtle in nature?","Competitive Intelligence gathering is non-interfering and subtle. It is focused on gathering information without direct engagement with the target, often using publicly available data."
"In the modern world of data, what is both a product and a process?","In the world of data, where data is considered the oil and fuel of modern technology, Competitive Intelligence gathering is both a product and a process."
"Which of the following is not a step in competitive intelligence data processing?","Network analysis is not a step in competitive intelligence data processing. The proper steps include data gathering, analysis, verification, and securing the information."
"What is one of the proper steps in competitive intelligence data processing?","Data analysis is one of the proper steps in competitive intelligence data processing. After gathering information, it is essential to analyze it to extract valuable insights."
"How many types of cognitive hacking and information gathering exist based on the source type?","There are two types of cognitive hacking and information gathering based on the source type: single source and multiple sources."
"Why is competitive intelligence gathering important?","Competitive Intelligence gathering is important for quickly understanding and analyzing your competitors or the target user’s needs, helping to inform strategic decisions."
"What is not a reason for competitive information gathering?","Fetching confidential plans about your competitors is not an ethical reason for competitive information gathering. This is considered cybercrime."
"Can competitive information gathering through malware put a company at risk?","Yes, competitive information gathering through malware or other illicit means can put your company at risk, as it constitutes a cybercrime and can lead to legal repercussions."
"Is it a crime to predict and analyze competitor tactics from publicly available data?","No, predicting and analyzing competitor tactics from publicly available data is not a crime. It is a standard practice in competitive intelligence gathering."
"What is the purpose of the website https://www.bidigital.com/ci/?","The website https://www.bidigital.com/ci/ is used for Competitive Intelligence gathering, helping organizations understand competitors and market conditions."
"Which of the following websites is used for Competitive Intelligence gathering?","The website https://www.bidigital.com/ci/ is commonly used for Competitive Intelligence gathering. It provides tools and resources for gathering information about competitors."
"Which of the following is not a firm providing competitive intelligence gathering services?","Microsoft CI is not an example of a firm that provides competitive intelligence gathering services. Examples of such firms include Carratu International and CI Center."
"What type of software is illegal to use for competitive intelligence gathering?","Spyware is illegal to use for competitive intelligence gathering. Using spyware to gather information is considered a cybercrime."
"What is Competitive Intelligence gathering considered in the modern world of data?","Competitive Intelligence gathering is considered both a product and a process in the modern world of data, where information is a critical resource."
"There are how many types of scanning?","There are a total of three types of scanning in ethical hacking and cyber-security. These are vulnerability scanning, network scanning, and port scanning."
"Which of the following is not an objective of scanning?","Detection of spyware in a system is not an objective of scanning. Scanning objectives include detecting live systems, discovering IP addresses, and discovering services running on the target system."
"For discovering the OS running on the target system, the scanning has a specific term. What is it?","Fingerprinting is the specific type of scanning for discovering the OS running on the target system in a network. It comes under OS scanning technique."
"Which of them is not a scanning methodology?","Identifying malware in the system is not a scanning methodology. Scanning methodologies include checking for live systems, open ports, and identifying services running on systems."
"ICMP scanning is used to scan what?","ICMP scanning is used to check for live systems in a network by pinging the systems to see if they are active."
"In live system scanning, is it checked which hosts are up in the network by pinging the systems in the network?","Yes, in live system scanning, it is checked which hosts are up in the network by pinging the systems to see if they respond."
"What attribute is used to tweak the ping timeout value?","The -t attribute is used while pinging any system to tweak the ping timeout value, which is useful in live system scanning."
"Which of them does not come under NETBIOS information?","RAM space does not come under NETBIOS information. NETBIOS information includes the system name, workgroup name, and MAC address."
"A what is a simple network scanning technique used for determining which range of IP addresses map to live hosts?","A ping sweep is a simple network scanning technique used for determining which range of IP addresses map to live hosts."
"Ping sweep is also known as what?","Ping sweep is also known as ICMP sweep. It is a technique used to determine which IP addresses map to live hosts using ICMP echo requests."
"If any given address is running live, will it return an ICMP ECHO reply?","Yes, if any given address is live, it will return an ICMP ECHO reply in response to the sweep."
"What scanning is done when a series of messages are sent by someone to break into a computer?","Port scanning is done when a series of messages are sent by someone to break into a computer, identifying network services and their vulnerabilities."
"What scanning is a procedure to identify active hosts on your network?","Network scanning is a procedure used to identify active hosts on a network, either for security purposes or for launching attacks."
"What scanning is an automatic process for identifying vulnerabilities of the system within a network?","Vulnerability scanning is an automatic process for identifying vulnerabilities in a computing system within a network."
"Which of them is not a standard scanning type or terminology?","System scanning is not a standard scanning type or terminology in cybersecurity. The standard types are vulnerability scanning, network scanning, and port scanning."
"In port scanning, a port is always associated with what (typically of host system) & the type of what employed for communication?","In port scanning, a port is always associated with an IP address (typically of the host system) & the type of protocol (UDP or TCP) employed for communication."
"What is the tool that uses traceroute-like techniques for analyzing IP packet responses?","Firewalk is a tool that uses traceroute-like techniques for analyzing IP packet responses. It helps determine gateway ACL and filters, mapping networks."
"In port scanning, a port is always associated with what of the host system & the type of protocol used for communication?","In port scanning, a port is always associated with an IP address (typically of the host system) & the type of protocol (UDP or TCP) employed for communication."
"Firewalk tool employs a technique to determine what rules in place on the what forwarding device?","Firewalk uses a technique to determine filter rules in place on the packet forwarding device, analyzing IP packet responses to map networks and understand ACLs."
"Firewalk works by sending what types of packets?","Firewalk works by sending UDP and TCP packets, using traceroute-like techniques to analyze responses and map networks."
"Is it possible to check for open ports using a 3-way handshake?","Yes, it is possible to check for open ports using a 3-way handshake. The process involves SYN, SYN-ACK, and ACK packets exchanged between the client and server."
"Which of the following is not a standard flag used in TCP communication between client and server?","Start is not a valid TCP flag. The standard flags include Synchronize (SYN), Acknowledgment (ACK), Push (PSH), Urgent (URG), Finish (FIN), and Reset (RST)."
"How many standard flags are used in TCP communication?","There are 6 standard flags used in TCP communication. These include Synchronize (SYN), Acknowledgment (ACK), Push (PSH), Urgent (URG), Finish (FIN), and Reset (RST)."
"Which of the following is not a valid scanning method?","Cloud scan is not a valid scanning method. Popular scanning methods include Xmas Tree scan, SYN Stealth scan, Null scan, and Window scan."
"What is the command-line TCP/IP packet assembler and analyzer tool called?","Hping2 is a command-line TCP/IP packet assembler and analyzer tool, often used for testing firewalls, port scanning, and network testing."
"Which of the following is not a feature of the Hping2 tool?","Server malware scanning is not a feature of Hping2. It is mainly used for firewall testing, port scanning, network testing, and sending files via covert channels."
"What is the esoteric process called for preventing session creation through a particular port?","Port knocking is an esoteric process used to prevent session creation through a particular port by requiring a specific sequence of attempts to 'knock' on the port before it's opened."
"Which one of the following is not a network scanner?","Netcat is not a network scanner. Nmap, Qualys, and SoftPerfect are all popular network scanners used to gather information about systems within a network."
"Which of the following is not a port scanning tool?","Maltego is not a port scanning tool. Port scanning tools include Netcat, Unicornscan, and Angry IP Scanner."
"Which of the following is not a vulnerability scanning tool?","Snort is not a vulnerability scanning tool. Popular vulnerability scanners include Nexpose, Nessus Professional, and Nikto Web scanner."
"There are how many major ways of stealing email information?","There are three major ways of stealing email information. These include stealing cookies, social engineering, and password phishing."
"Which of the following is not a major way of stealing email information?","Reverse engineering is not a method for stealing email information. The main methods are stealing cookies, social engineering, and password phishing."
"What is the method for keeping sensitive information in email communication & accounts secure against unofficial access?","Email security is the method for keeping sensitive information in email communication and accounts secure against unauthorized access, loss, or compromise."
"Which technological medium is famous for the spread of malware, facing problems of spam, & phishing attacks?","Email is a popular medium for the spread of malware and is often targeted by spam and phishing attacks to steal sensitive information."
"Which of the following is not a proper method for email security?","Clicking on unknown links to explore is not a secure practice. Proper email security includes using strong passwords, encryption, and implementing spam filters and malware scanners."
"If a website uses a cookie, what happens every time you visit that website?","If a website uses a cookie, every time you visit the website, the browser sends the cookie back, which can initiate a cookie-stealing attack."
"What can be stolen by attackers using malware or trojans from your browser cookies?","If your cookies are not encrypted, attackers using malware or trojans can steal sensitive data, such as usernames and passwords."
"If data stored in what is not encrypted, attackers can see your login details after a cookie-stealing attack?","If data stored in cookies is not encrypted, attackers can access usernames and passwords after a cookie-stealing attack."
"Which of the following is a non-technical type of intrusion or attack technique?","Social engineering is a non-technical intrusion method that relies on manipulating human interactions to bypass security measures."
"What is an example of grabbing email information?","Cookie stealing is one example of how attackers can grab email information. Other methods include social engineering and password phishing."
"What technique is used for tricking users into disclosing their credentials through fake login pages?","Phishing is a technique where users are tricked into revealing their usernames and passwords through fake login pages."
"What can hackers spread through email hacking to infect recipients?","Through email hacking, attackers can spread trojans, malware, viruses, and malicious URLs to infect recipients and compromise their systems."
"What are unsolicited bulk emails also called?","Unsolicited bulk emails are called spam. These emails often advertise products or services and are sent without the recipient's consent."
"What is a common method used in fraudulent emails to steal sensitive information like bank details?","Fraudulent emails often ask for confidential information, such as bank details and login credentials, under the guise of legitimate requests."
"What details are commonly requested in fraudulent email messages?","Fraudulent email messages commonly ask for sensitive details like credit card numbers and login IDs under false pretenses."
"Which of the following is a micro-virus that can bring down the confidentiality of an email specifically?","Reaper exploit is a micro-virus that can compromise email security by sending a copy of replied or forwarded emails to its creator or sender."
"Email users who use Internet Explorer as their what are vulnerable to Reaper Exploit?","Email users who use Internet Explorer as their HTML engine are vulnerable to Reaper Exploit, which works in the background and compromises email security."
"What needs to be turned off in order to prevent Reaper Exploit attacks?","Email scripting needs to be turned off to prevent Reaper Exploit attacks, which compromise email by sending copies of messages to the attacker's system."
"Which tool monitors outgoing email traffic and intercepts all emails sent from a target PC?","Advanced Stealth Email Redirector is a tool that monitors outgoing email traffic, intercepting emails and forwarding them to a pre-specified email ID."
"Advanced SER stands for what?","Advanced Stealth Email Redirector (Advanced SER) is a tool that monitors and intercepts outgoing emails from a target PC."
"Which of the following will not help preserve email security?","Clicking on unknown links and sites does not help preserve email security, while strong passwords, email encryption, and two-factor authentication do."
"If an email is compromised, what can also be compromised?","If an email is compromised, all other sites and services linked to the email can also be compromised, allowing attackers to access other accounts."
"What is an encryption program that provides cryptographic privacy for email communication?","Pretty Good Privacy (PGP) is an encryption program that provides cryptographic privacy and authentication for securing email communication."
"What does PGP stand for?","Pretty Good Privacy (PGP) is an encryption program that provides cryptographic privacy and authentication for securing emails and attachments."
"Which of the following is not an example of a business email security tool?","Cisco Jabber is not an email security tool. It is a communication app for messaging and conferencing, while tools like Microsoft Office Trust Center and Hushmail Business are used for email security."
"Which of the following is not a business email security tool?","MS Outlook is not specifically a security tool, but a web-based email service, while tools like Sendinc and RPost Office are focused on business email security."
"What is a free browser extension for decrypting and encrypting emails?","Mailvelope is a free browser extension for encrypting and decrypting emails using OpenPGP standards, available for Chrome and Firefox."
"Which of the following is not an email hacking tool?","Sendinc is not an email hacking tool. It is used for securing business emails, while tools like Email Finder Pro and Mail PassView are used for compromising email data."
"What software is used for targeted bulk email marketing?","Email Spider Easy is software used for targeted bulk email marketing, quickly searching for email addresses through integration with top search engines."
"What tool is integrated with 90 search engines to search for email addresses and details?","Email Spider Easy is integrated with top search engines to rapidly search for email addresses, allowing up to 500 email extraction threads simultaneously."
"MegaHackerZ helps in what activity?","MegaHackerZ is a tool used by crackers to crack email passwords, though it is deprecated but still useful for weak passwords."
"System hacking involves password hacking as one of the major hacking methodologies?","True. System hacking involves password hacking as one of the major methodologies. It is used to gain unauthorized access and steal data."
"Password cracking in system hacking is of how many types?","Password cracking is of 4 types in system hacking: passive online attack, active online attack, offline attack, and non-electronic attack."
"There are how many major types of passwords?","There are 7 major types of passwords. They can include combinations of letters, numbers, special characters, or a mix of any of them."
"In which type of attacks does the attacker not contact the authorizing party for stealing the password?","In passive online attacks, the attacker does not contact the authorizing party but attempts to steal the password without direct interaction."
"Which of the following is an example of passive online attack?","Wire sniffing is an example of a passive online attack, where the attacker intercepts network traffic without directly communicating with the victim."
"Which of the following is not an example of a passive online attack?","Phishing is not an example of a passive online attack. Instead, it is an active attack where the victim is tricked into revealing their credentials."
"Which of the following does not come under the hurdles of passive online attacks for hackers?","Tools not being available is not a hurdle for passive online attacks. These attacks are computationally complex and time-consuming but tools are widely available."
"Which of the following cases come under the victim's list of an active online attack?","Open authentication points often become the victim of active online attacks where the attacker tries different passwords directly."
"In which type of attack does the attacker try different passwords one by one against the victim’s system or account?","In an active online attack, the attacker tries different passwords one by one against the victim’s system or account."
"Which of the following is not a disadvantage of active online attacks?","Easily and automatically detected is not a disadvantage. Active online attacks require time, bandwidth, and patience, making them resource-intensive."
"Which type of attack can also be termed as a password guessing attack?","Active online attacks can be termed as password guessing attacks, where attackers directly attempt various passwords on the victim's system."
"Which attacks are carried out from a location other than the real computer where the password resides or was used?","Offline password attacks are carried out from a location other than the system with the password, often requiring physical access."
"Which attacks always need physical access to the system that has the password file or require cracking the system by other means?","Offline attacks need physical access to the system that has the password file, or the system needs to be cracked by other means."
"Which of the following is not an example of offline password attacks?","Spamming attack is not an offline password attack. Offline attacks include dictionary attacks, rainbow attacks, and brute force attacks."
"Passwords need to be kept encrypted to protect from offline attacks?","True. Encrypting passwords is essential to prevent them from being stolen during offline attacks, even if physical access is gained."
"Is saving passwords in the browser a good habit?","False. Saving passwords in the browser is not a good habit. Most browsers do not keep these passwords encrypted, and they can be easily accessed if someone gains control of the system."
"Which of the following is not an advantage of a dictionary attack?","Very tough and inefficient. Dictionary attacks are fast, time-saving, and easy to perform, but they are not tough or inefficient."
"What is a dictionary attack?","A dictionary attack is a process of breaking into a system by trying every word in a dictionary as a password. It is quick and easy to perform."
"Which of the following is an advantage of a dictionary attack?","Very fast. A dictionary attack is a fast method for breaking password-protected systems by trying words from a predefined list."
"Is the hybrid attack a combination of dictionary attack followed by brute force?","True. A hybrid attack combines a dictionary attack with a brute force attack, trying variations of words with added symbols or numbers."
"Is brute force attack fast or slow?","Slow. Brute force attacks try every possible combination of characters, which makes them slow compared to other methods."
"What is one of the simplest processes of gaining access to any password-protected system?","Brute force. This attack method involves trying all possible combinations of usernames and passwords until one is correct."
"What attack is a combination of a dictionary attack and brute force?","Syllable attack. This combines dictionary and brute force methods to crack passwords."
"When do attackers use a rule-based attack?","Attackers can use the rule-based attack when they have some information or hint regarding the password they want to crack, such as its length or possible characters."
"What are hybrid attacks based on?","Hybrid attacks are based on dictionary attack techniques. These attacks involve adding numbers or symbols to dictionary words in an attempt to break the password."
"What is a hybrid attack?","A hybrid attack is a type of offline attack that combines dictionary techniques with added numerals and special symbols."
"Which of the following is not an example of non-technical attack techniques?","Phishing. Non-technical attacks like shoulder surfing and social engineering do not require technical expertise, while phishing often does."
"What type of passwords provide the next level of security?","BIOS passwords provide the next level of security. They are stored in the CMOS chip on the motherboard, which keeps functioning even after the computer is turned off."
"What does BIOS stand for?","BIOS stands for Basic Input Output System. It is essential for system operation and can store a password in the CMOS chip."
"Do most computers have BIOS that can ask for a password when the system starts?","True. Most computers have BIOS that can be configured to request a password upon startup, providing an additional layer of security."
"Why is it important to uninstall unwanted programs from your computer?","Uninstalling unwanted programs is important because they may be malware or unnecessary software that could compromise system security."
"What should you create as a backup for securing your device?","It is necessary to create a restore point, which allows the system to roll back to a previous state before unwanted changes or installations occurred."
"What is the security app by Microsoft that filters network data and blocks harmful communications?","Windows Firewall is the built-in security app by Microsoft designed to filter network data and block harmful communications or programs."
"Why are software updates essential?","Software updates frequently include critical patches for security holes, which can help protect systems from harmful malware attacks."
"What is the difference between the system account and the administrator account?","The system account is used by the operating system and services, while the administrator account gives the user full control over files and directories."
"What is the anti-malware tool found in newer OS versions that protects from viruses and malware?","Windows Defender is an anti-malware tool that comes built into newer operating systems like Windows 8 and Windows 10."
"What is the application that allows Windows users to encrypt their entire drive?","BitLocker is the built-in application in Windows OS that allows users to encrypt their drives for security purposes."
"What is the chip on an endpoint device that stores RSA encryption keys?","The Trusted Platform Module (TPM) is a chip on an endpoint device that stores RSA encryption keys for hardware authentication."
"What does TPM stand for?","TPM stands for Trusted Platform Module, a dedicated chip used for storing RSA encryption keys and authenticating hardware."
"What is not an appropriate way of targeting a mobile phone for hacking?","Snatching the phone is not a hacking method. Mobile hacking involves exploiting hardware and application vulnerabilities, or using keyloggers and spyware."
"What is not an OS for mobile?","Mango is not a mobile OS. Palm, Windows, and Android are examples of mobile operating systems."
"Why might mobile phone OS be vulnerable to attacks?","Mobile phone OS contain open APIs that may be vulnerable to attacks, allowing malware to spread via various connectivity mechanisms."
"How does malware propagate to mobile phones?","Malware propagates through networks like SMS, Bluetooth, wireless medium, USBs, and infrared, affecting mobile phones."
"What is mobile security?","Mobile security is the protection of smartphones, tablets, and other portable tech devices, as well as the networks they connect to, from threats and bugs."
"What is mobile security also known as?","Mobile security is also known as wireless security, aimed at protecting mobile devices and their networks from threats."
"In mobile systems, what waits for the attack to be triggered?","Botnets wait for instructions from their owner to launch DDoS flood attacks, disrupting mobile services like calls and data transmission."
"What can hackers not do after compromising your phone?","Hackers cannot perform shoulder surfing after compromising a phone. However, they can steal information, rob e-money, and spy."
"Why are app permissions a security concern?","App permissions can cause trouble as some apps may secretly access your memory card or contact data, leading to unauthorized information access."
"When should Bluetooth be activated?","Bluetooth should be activated only when needed, and turned off otherwise for security purposes, as it can be used to exploit vulnerabilities."
"Why is biometric security not recommended for smart-phones?","Biometric passwords, especially fingerprints, can lead to physical hacking if someone accesses your phone while you're unaware or asleep."
"What tool is used for Blackjacking?","BBProxy is the tool used for Blackjacking, where a covert channel is created between a hacker and a compromised Blackberry device."
"In which mobile OS is BBProxy used?","BBProxy is used in Blackberry OS, allowing attackers to conduct Blackjacking by creating covert channels between the hacker and the compromised host."
"What is not a security issue for PDAs?","Reverse engineering is not a security issue for PDAs, but password theft, data theft, and wireless vulnerabilities are."
"What is the anticipation of unauthorized access or breaks to computers or data by means of wireless networks?","Wireless security is the anticipation of unauthorized access or breaks to computers or data by means of wireless networks, using methods such as WEP, WPA, WPA2, and WPA3."
"Which wireless security method has the strongest encryption?","WPA3 is the strongest wireless security method, offering better encryption than WPA2, WPA, or WEP."
"What is the weakest wireless encryption standard?","WEP is the weakest encryption standard for wireless security, as it has well-known vulnerabilities."
"What is an old IEEE 802.11 standard from 1999?","WEP is the old IEEE 802.11 standard introduced in 1999, now largely considered obsolete due to its vulnerabilities."
"What is the central node of 802.11 wireless operations?","The central node of 802.11 wireless operations is the Access Point, which acts as an intermediary between a wired and wireless network."
"What does AP stand for in wireless networks?","AP stands for Access Point, which is the central node in a wireless network that allows communication between wireless clients."
"What is similar to the Access Point (AP) used by mobile operators to offer signal coverage?","A Base Transceiver Station (BTS) is similar to an Access Point, and it is used by mobile operators to provide signal coverage."
"What does BTS stand for in mobile networks?","BTS stands for Base Transceiver Station, which facilitates wireless communication for mobile networks."
"How many types of wireless authentication modes are there?","There are two types of wireless authentication modes: Pre-Shared Key (PSK) authentication and Open Authentication."
"What is the four-step authentication process used in wireless networks called?","The four-step authentication process used in wireless networks is called the 4-way handshake."
"What does WPS stand for in wireless security?","WPS stands for WiFi Protected Setup, which is used to easily connect devices to a wireless network by pushing a button and entering a PIN."
